origin_date,forecast_date,horizon_day,target,model,actual,forecast,lower_bound,upper_bound,error
2026-01-01,2026-01-02,1,net_revenue_usd,seasonal_naive,10135.87,9024.59,7759.52,10289.66,-1111.28
2026-01-01,2026-01-02,1,net_revenue_usd,driver_regression,10135.87,9683.76,9413.28,9954.23,-452.11
2026-01-01,2026-01-03,2,net_revenue_usd,seasonal_naive,10400.04,9499.17,8231.64,10766.7,-900.87
2026-01-01,2026-01-03,2,net_revenue_usd,driver_regression,10400.04,10053.94,9782.94,10324.94,-346.1
2026-01-01,2026-01-04,3,net_revenue_usd,seasonal_naive,9183.68,7968.34,6698.36,9238.32,-1215.34
2026-01-01,2026-01-04,3,net_revenue_usd,driver_regression,9183.68,9202.09,8930.56,9473.61,18.41
2026-01-01,2026-01-05,4,net_revenue_usd,seasonal_naive,8499.04,7560.02,6287.59,8832.45,-939.02
2026-01-01,2026-01-05,4,net_revenue_usd,driver_regression,8499.04,8493.56,8221.52,8765.61,-5.48
2026-01-01,2026-01-06,5,net_revenue_usd,seasonal_naive,8701.04,8004.96,6730.09,9279.83,-696.08
2026-01-01,2026-01-06,5,net_revenue_usd,driver_regression,8701.04,8755.92,8483.35,9028.48,54.88
2026-01-01,2026-01-07,6,net_revenue_usd,seasonal_naive,9041.33,8386.92,7109.61,9664.23,-654.41
2026-01-01,2026-01-07,6,net_revenue_usd,driver_regression,9041.33,9195.9,8922.81,9468.99,154.57
2026-01-01,2026-01-08,7,net_revenue_usd,seasonal_naive,9284.76,8473.09,7193.35,9752.83,-811.67
2026-01-01,2026-01-08,7,net_revenue_usd,driver_regression,9284.76,9147.95,8874.34,9421.56,-136.81
2026-01-01,2026-01-09,8,net_revenue_usd,seasonal_naive,9601.76,9111.77,7829.6,10393.94,-489.99
2026-01-01,2026-01-09,8,net_revenue_usd,driver_regression,9601.76,9591.32,9317.19,9865.44,-10.44
2026-01-01,2026-01-10,9,net_revenue_usd,seasonal_naive,10248.0,9020.5,7735.9,10305.1,-1227.5
2026-01-01,2026-01-10,9,net_revenue_usd,driver_regression,10248.0,10032.36,9757.71,10307.01,-215.64
2026-01-01,2026-01-11,10,net_revenue_usd,seasonal_naive,8853.41,8223.76,6936.74,9510.78,-629.65
2026-01-01,2026-01-11,10,net_revenue_usd,driver_regression,8853.41,8685.25,8410.09,8960.42,-168.16
2026-01-01,2026-01-12,11,net_revenue_usd,seasonal_naive,7991.62,7540.1,6250.67,8829.53,-451.52
2026-01-01,2026-01-12,11,net_revenue_usd,driver_regression,7991.62,8331.08,8055.39,8606.76,339.46
2026-01-01,2026-01-13,12,net_revenue_usd,seasonal_naive,8849.98,8642.77,7350.92,9934.62,-207.21
2026-01-01,2026-01-13,12,net_revenue_usd,driver_regression,8849.98,8681.8,8405.6,8958.0,-168.18
2026-01-01,2026-01-14,13,net_revenue_usd,seasonal_naive,10230.54,9075.55,7781.3,10369.8,-1154.99
2026-01-01,2026-01-14,13,net_revenue_usd,driver_regression,10230.54,10052.88,9776.17,10329.59,-177.66
