activity_date,total_marketing_spend_usd,paid_search_spend_usd,paid_social_spend_usd,retargeting_spend_usd,email_spend_usd,affiliate_revenue_usd,stockout_rate,event_name,driver_plan_method
2026-08-21,1312.44,608.49,457.70,193.29,52.96,1777.08,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-22,1227.40,532.00,426.56,210.15,58.69,1638.16,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-23,1253.76,569.16,423.82,208.10,52.68,1866.79,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-24,1274.78,590.83,426.51,204.98,52.46,1746.26,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-25,1330.29,619.63,435.23,217.79,57.64,1716.95,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-26,1317.71,609.87,450.76,202.90,54.18,1738.24,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-27,1283.03,590.35,427.88,203.78,61.02,1889.19,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-28,1336.80,628.80,445.82,208.82,53.36,1750.14,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-29,1282.47,596.22,416.17,216.66,53.42,1674.50,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-30,1315.31,603.56,436.34,218.40,57.01,1773.24,0.0180,none,52_week_pattern_with_recent_pacing
2026-08-31,1298.41,573.23,454.65,210.28,60.25,1853.31,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-01,1311.68,611.63,428.55,212.46,59.04,1876.30,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-02,1284.42,558.02,462.37,208.11,55.92,1790.93,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-03,1298.05,587.81,434.55,219.31,56.38,1647.28,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-04,1291.35,560.81,464.35,204.35,61.84,1960.72,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-05,1314.53,562.64,488.49,208.01,55.39,1783.22,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-06,1339.28,578.92,489.82,210.69,59.85,1968.49,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-07,1309.05,580.49,457.31,214.58,56.67,1865.93,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-08,1323.28,563.58,485.56,216.66,57.48,2097.71,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-09,1343.78,611.10,455.66,220.19,56.83,1879.05,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-10,1349.86,564.08,498.32,230.19,57.27,1788.07,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-11,1314.31,567.55,477.15,207.17,62.44,1971.59,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-12,1364.50,645.45,447.05,215.64,56.36,1977.53,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-13,1571.60,700.46,562.56,247.37,61.21,2146.86,0.0360,none,52_week_pattern_with_recent_pacing
2026-09-14,1579.39,707.72,554.12,249.88,67.67,2278.22,0.0360,monthly_promotion,52_week_pattern_with_recent_pacing
2026-09-15,1518.56,659.03,523.80,266.08,69.65,2168.57,0.0360,monthly_promotion,52_week_pattern_with_recent_pacing
2026-09-16,1405.51,615.44,498.43,226.22,65.42,1958.36,0.0180,monthly_promotion,52_week_pattern_with_recent_pacing
2026-09-17,1426.82,632.18,498.83,234.94,60.87,1859.64,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-18,1364.41,653.97,438.81,211.12,60.51,1885.68,0.0180,none,52_week_pattern_with_recent_pacing
2026-09-19,1383.09,587.48,500.72,228.64,66.25,2046.15,0.0180,none,52_week_pattern_with_recent_pacing
