activity_date,gross_revenue_usd,refunds_usd,net_revenue_usd,shipped_revenue_usd,revenue_to_ship_gap_usd,ending_backlog_revenue_usd,orders,units_sold,units_shipped,average_order_value_usd,total_marketing_spend_usd,paid_search_spend_usd,paid_social_spend_usd,retargeting_spend_usd,email_spend_usd,marketing_efficiency_ratio,marketing_attributed_orders,affiliate_revenue_usd,affiliate_commission_usd,affiliate_orders,affiliate_revenue_share,net_revenue_yoy_pct,stockout_rate,event_name
2023-08-21,5869.20,206.06,5663.14,5663.14,0.00,0.00,66,88,84,88.93,967.82,442.50,325.88,157.33,42.11,6.0644,48,1258.53,155.87,13,0.2144,,0.0180,none
2023-08-22,6105.68,221.64,5884.05,5884.05,0.00,0.00,69,89,87,88.49,901.19,414.72,295.79,146.01,44.67,6.7751,48,1224.94,151.65,13,0.2006,,0.0180,none
2023-08-23,6335.31,229.34,6105.97,6105.97,0.00,0.00,70,90,88,90.50,977.63,430.62,344.19,161.21,41.61,6.4803,47,1271.05,156.86,13,0.2006,,0.0180,none
2023-08-24,6575.31,230.96,6344.34,6344.34,0.00,0.00,73,94,92,90.07,987.08,457.07,343.29,147.09,39.63,6.6614,47,1262.61,155.80,13,0.1920,,0.0180,none
2023-08-25,7175.65,279.13,6896.52,6896.52,0.00,0.00,78,100,98,92.00,962.97,411.85,346.29,161.31,43.52,7.4516,48,1418.87,175.19,15,0.1977,,0.0180,none
2023-08-26,7180.55,217.89,6962.66,4957.92,2004.74,2004.74,77,98,70,93.25,959.03,446.11,321.98,148.58,42.36,7.4873,49,1375.71,169.36,14,0.1916,,0.0180,none
2023-08-27,6470.11,237.02,6233.09,3787.26,2445.83,4450.57,73,94,56,88.63,966.66,450.65,306.43,165.90,43.68,6.6933,48,1419.36,174.88,15,0.2194,,0.0180,none
2023-08-28,5854.61,236.77,5617.84,9741.77,-4123.93,326.64,63,82,137,92.93,963.47,439.13,336.53,146.62,41.19,6.0766,48,1250.11,154.88,13,0.2135,,0.0180,none
2023-08-29,6157.91,254.18,5903.73,6230.37,-326.64,0.00,67,87,89,91.91,965.20,452.45,325.62,147.29,39.84,6.3799,46,1256.21,155.26,13,0.2040,,0.0180,none
2023-08-30,6479.71,290.94,6188.77,6188.77,0.00,0.00,70,93,87,92.57,955.95,417.88,350.87,145.31,41.89,6.7783,48,1322.76,164.55,14,0.2041,,0.0180,none
2023-08-31,6638.03,293.33,6344.70,6344.70,0.00,0.00,74,96,93,89.70,989.59,429.65,346.72,169.13,44.09,6.7079,52,1248.36,154.23,13,0.1881,,0.0180,none
2023-09-01,7489.68,249.30,7240.38,7240.38,0.00,0.00,81,105,102,92.47,1002.25,452.16,357.05,147.37,45.67,7.4729,49,1556.47,191.33,16,0.2078,,0.0180,none
2023-09-02,7289.78,207.81,7081.97,4969.01,2112.96,2112.96,78,103,70,93.46,964.98,431.81,333.51,156.59,43.07,7.5543,48,1342.25,163.33,14,0.1841,,0.0180,none
2023-09-03,6780.11,239.31,6540.80,3795.72,2745.08,4858.04,74,99,54,91.62,975.39,457.07,325.26,149.74,43.32,6.9512,49,1410.02,173.30,15,0.2080,,0.0180,none
2023-09-04,6158.02,265.56,5892.46,9763.55,-3871.09,986.95,69,89,142,89.25,1012.04,440.98,359.01,168.49,43.56,6.0848,50,1422.95,173.19,15,0.2311,,0.0180,none
2023-09-05,6360.07,262.76,6097.31,7084.26,-986.95,0.00,68,88,100,93.53,944.21,416.15,326.87,160.60,40.59,6.7359,47,1254.03,155.64,13,0.1972,,0.0180,none
2023-09-06,6655.63,265.18,6390.45,6390.45,0.00,0.00,72,97,91,92.44,1005.95,481.33,321.13,159.03,44.46,6.6163,49,1451.17,177.42,15,0.2180,,0.0180,none
2023-09-07,6765.64,273.46,6492.18,6492.18,0.00,0.00,73,96,92,92.68,995.46,444.80,346.32,161.52,42.82,6.7965,49,1344.66,165.78,14,0.1987,,0.0180,none
2023-09-08,7354.92,277.82,7077.10,7077.10,0.00,0.00,82,109,103,89.69,959.91,430.55,333.39,151.07,44.90,7.6621,47,1415.07,174.38,15,0.1924,,0.0180,none
2023-09-09,7380.98,248.13,7132.85,4980.10,2152.75,2152.75,83,107,73,88.93,989.20,434.79,347.09,165.34,41.98,7.4616,49,1358.70,169.37,14,0.1841,,0.0180,none
2023-09-10,7007.72,242.43,6765.29,3804.19,2961.10,5113.85,76,101,54,92.21,1005.65,446.24,358.61,159.19,41.61,6.9683,50,1533.88,188.72,16,0.2189,,0.0180,none
2023-09-11,6262.86,250.62,6012.24,9785.32,-3773.08,1340.77,68,88,139,92.10,1037.72,489.13,339.82,166.12,42.65,6.0352,52,1469.64,185.17,15,0.2347,,0.0180,none
2023-09-12,6445.45,250.38,6195.07,7535.84,-1340.77,0.00,70,90,107,92.08,991.53,420.25,355.11,174.08,42.09,6.5005,49,1426.93,177.50,15,0.2214,,0.0180,none
2023-09-13,6900.58,258.21,6642.38,6642.38,0.00,0.00,76,99,96,90.80,993.84,445.00,332.93,171.71,44.20,6.9434,51,1401.12,170.93,15,0.2030,,0.0180,none
2023-09-14,7881.02,286.06,7594.96,7594.96,0.00,0.00,89,119,112,88.55,1159.26,520.86,386.01,200.47,51.92,6.7983,65,1631.81,202.10,17,0.2071,,0.0360,monthly_promotion
2023-09-15,8179.31,271.52,7907.79,7907.79,0.00,0.00,90,116,115,90.88,1134.27,482.45,402.71,200.02,49.09,7.2111,63,1616.48,200.81,17,0.1976,,0.0360,monthly_promotion
2023-09-16,8564.60,240.10,8324.51,4991.18,3333.33,3333.32,92,119,70,93.09,1121.77,512.08,372.08,188.20,49.41,7.6349,64,1531.94,190.97,16,0.1789,,0.0360,monthly_promotion
2023-09-17,6913.95,228.61,6685.34,3812.66,2872.68,6206.00,75,98,54,92.19,1006.21,429.48,372.76,157.56,46.41,6.8713,51,1452.06,179.55,15,0.2100,,0.0180,none
2023-09-18,6330.16,271.01,6059.15,9807.09,-3747.94,2458.06,70,89,142,90.43,1049.80,495.38,340.73,167.80,45.89,6.0299,51,1422.86,172.96,15,0.2248,,0.0180,none
2023-09-19,6669.34,298.07,6371.27,8829.33,-2458.06,0.00,73,98,127,91.36,1020.53,469.10,348.43,157.69,45.31,6.5352,52,1443.20,176.39,15,0.2164,,0.0180,none
2023-09-20,7126.08,312.19,6813.89,6813.89,0.00,0.00,76,102,95,93.76,1062.63,481.62,368.27,165.41,47.33,6.7061,54,1439.55,179.29,15,0.2020,,0.0180,none
2023-09-21,7162.10,312.48,6849.62,6849.62,0.00,0.00,81,105,101,88.42,1049.08,472.49,363.45,165.25,47.89,6.8270,52,1430.99,175.76,15,0.1998,,0.0180,none
2023-09-22,7992.08,256.78,7735.30,7735.30,0.00,0.00,87,115,111,91.86,1057.81,504.52,344.66,164.59,44.04,7.5553,51,1606.32,199.07,17,0.2010,,0.0180,none
2023-09-23,8165.11,250.78,7914.32,5002.27,2912.05,2912.05,89,116,71,91.74,1079.21,494.97,358.03,181.82,44.39,7.5658,52,1479.45,184.38,15,0.1812,,0.0180,none
2023-09-24,7012.10,267.43,6744.67,3821.13,2923.54,5835.59,79,106,57,88.76,986.31,441.33,328.11,172.07,44.80,7.1094,50,1418.83,176.27,15,0.2023,,0.0180,none
2023-09-25,6540.49,292.02,6248.47,9828.86,-3580.39,2255.19,71,92,140,92.12,1037.47,487.78,340.34,166.67,42.68,6.3043,49,1322.24,164.68,14,0.2022,,0.0180,none
2023-09-26,6968.81,259.59,6709.22,8964.41,-2255.19,0.00,78,103,132,89.34,1083.05,486.19,380.60,172.14,44.12,6.4344,52,1422.43,174.97,15,0.2041,,0.0180,none
2023-09-27,7282.08,317.36,6964.72,6964.72,0.00,0.00,79,103,99,92.18,1093.44,496.48,372.81,176.36,47.79,6.6598,56,1427.74,176.35,15,0.1961,,0.0180,none
2023-09-28,7121.26,330.45,6790.81,6790.81,0.00,0.00,81,105,101,87.92,1032.21,469.07,351.30,168.50,43.34,6.8990,51,1430.48,175.74,15,0.2009,,0.0180,none
2023-09-29,8056.32,286.86,7769.46,7769.46,0.00,0.00,90,117,114,89.51,1086.65,511.85,354.35,173.99,46.46,7.4139,53,1551.23,193.15,16,0.1925,,0.0180,none
2023-09-30,8076.39,246.40,7829.99,5013.36,2816.63,2816.63,92,122,75,87.79,1069.20,483.49,356.42,179.52,49.77,7.5537,54,1508.57,185.10,16,0.1868,,0.0180,none
2023-10-01,7183.15,262.58,6920.57,3829.59,3090.98,5907.61,77,102,54,93.29,1086.30,501.24,349.19,185.61,50.26,6.6125,56,1537.29,188.48,16,0.2140,,0.0180,none
2023-10-02,6505.90,287.29,6218.61,9850.64,-3632.03,2275.59,72,93,143,90.36,1050.49,452.85,362.09,185.46,50.09,6.1932,56,1413.31,174.07,15,0.2172,,0.0180,none
2023-10-03,6873.64,253.42,6620.22,8895.80,-2275.58,0.00,76,100,129,90.44,1035.20,455.35,365.02,168.20,46.63,6.6399,51,1472.42,181.58,15,0.2142,,0.0180,none
2023-10-04,7347.72,326.23,7021.48,7021.48,0.00,0.00,79,102,99,93.01,1045.86,448.86,376.85,173.29,46.86,7.0255,52,1615.96,200.02,17,0.2199,,0.0180,none
2023-10-05,7454.77,319.08,7135.68,7135.68,0.00,0.00,79,104,100,94.36,1042.56,454.11,361.28,182.35,44.82,7.1504,51,1527.01,187.87,16,0.2048,,0.0180,none
2023-10-06,7914.51,282.02,7632.49,7632.49,0.00,0.00,88,115,112,89.94,1060.46,456.15,372.48,185.86,45.97,7.4633,54,1578.04,194.04,16,0.1994,,0.0180,none
2023-10-07,8270.31,236.64,8033.67,5024.45,3009.22,3009.22,94,124,75,87.98,1119.07,500.23,388.94,183.19,46.71,7.3903,55,1541.41,189.29,16,0.1864,,0.0180,none
2023-10-08,7219.36,255.70,6963.66,3838.06,3125.60,6134.82,77,100,54,93.76,1053.17,453.64,373.92,179.62,45.99,6.8549,54,1437.25,176.78,15,0.1991,,0.0180,none
2023-10-09,6639.08,260.52,6378.56,9872.41,-3493.85,2640.97,73,93,142,90.95,1071.16,494.08,349.29,183.21,44.58,6.1980,53,1563.49,192.71,16,0.2355,,0.0180,none
2023-10-10,7184.44,274.78,6909.66,9550.63,-2640.97,0.00,80,102,139,89.81,1032.79,457.84,345.93,179.70,49.32,6.9563,52,1560.31,192.50,16,0.2172,,0.0180,none
2023-10-11,7248.11,298.68,6949.43,6949.43,0.00,0.00,79,106,99,91.75,1042.52,469.42,360.68,164.20,48.22,6.9525,52,1554.11,191.67,16,0.2144,,0.0180,none
2023-10-12,7599.79,324.83,7274.96,7274.96,0.00,0.00,82,108,102,92.68,1095.05,483.76,383.45,177.27,50.57,6.9401,56,1655.80,205.50,17,0.2179,,0.0180,none
2023-10-13,7902.43,267.81,7634.62,7634.62,0.00,0.00,90,117,114,87.80,1096.86,529.68,351.93,168.25,47.00,7.2046,54,1544.25,189.62,16,0.1954,,0.0180,none
2023-10-14,9090.10,250.68,8839.41,5035.54,3803.87,3803.88,101,131,73,90.00,1181.19,520.71,413.78,195.42,51.28,7.6957,65,1756.86,219.96,18,0.1933,,0.0360,monthly_promotion
2023-10-15,8334.75,279.45,8055.30,3846.53,4208.77,8012.65,89,115,54,93.65,1211.95,559.51,408.67,188.28,55.49,6.8771,65,1750.39,214.43,18,0.2100,,0.0360,monthly_promotion
2023-10-16,7805.34,267.71,7537.64,9894.18,-2356.54,5656.10,87,114,145,89.72,1307.87,589.18,457.14,205.44,56.11,5.9680,70,1762.26,216.38,18,0.2258,,0.0360,monthly_promotion
2023-10-17,7177.98,276.37,6901.60,9897.29,-2995.69,2660.41,78,100,140,92.03,1097.33,507.37,375.15,166.67,48.14,6.5413,54,1448.67,178.69,15,0.2018,,0.0180,none
2023-10-18,7650.79,296.87,7353.93,9717.06,-2363.13,297.28,86,111,144,88.96,1069.57,479.25,354.78,187.95,47.59,7.1531,55,1626.76,201.23,17,0.2126,,0.0180,none
2023-10-19,7761.19,362.29,7398.90,7696.18,-297.28,0.00,84,112,109,92.40,1091.15,466.95,389.69,182.40,52.11,7.1129,55,1661.25,206.61,17,0.2140,,0.0180,none
2023-10-20,8455.38,337.02,8118.35,8118.35,0.00,0.00,95,125,119,89.00,1115.27,514.51,362.14,186.32,52.30,7.5815,57,1621.34,200.32,17,0.1918,,0.0180,none
2023-10-21,8634.60,295.20,8339.39,5046.62,3292.77,3292.77,97,126,74,89.02,1136.10,536.59,373.55,177.65,48.31,7.6002,56,1654.57,205.32,17,0.1916,,0.0180,none
2023-10-22,7446.89,287.53,7159.36,3855.00,3304.36,6597.13,80,105,54,93.09,1117.30,494.87,386.46,184.40,51.57,6.6651,56,1548.02,190.91,16,0.2079,,0.0180,none
2023-10-23,6769.72,281.54,6488.18,9915.96,-3427.78,3169.36,76,100,146,89.08,1050.35,482.25,352.18,169.70,46.22,6.4452,52,1643.95,203.68,17,0.2428,,0.0180,none
2023-10-24,7324.50,281.37,7043.12,9919.07,-2875.95,293.42,79,101,140,92.72,1144.68,512.99,405.97,172.96,52.76,6.3987,57,1591.76,197.35,17,0.2173,,0.0180,none
2023-10-25,7822.21,327.97,7494.24,7787.66,-293.42,0.00,85,111,110,92.03,1129.59,496.40,405.80,180.70,46.69,6.9248,55,1645.92,204.05,17,0.2104,,0.0180,none
2023-10-26,7993.43,307.86,7685.57,7685.57,0.00,0.00,87,117,109,91.88,1148.64,500.49,413.55,185.90,48.70,6.9590,56,1648.09,204.92,17,0.2062,,0.0180,none
2023-10-27,8628.43,295.59,8332.84,8332.84,0.00,0.00,92,123,117,93.79,1196.64,541.11,410.17,193.27,52.09,7.2105,58,1650.91,201.09,17,0.1913,,0.0180,none
2023-10-28,8633.96,267.37,8366.59,5057.71,3308.88,3308.88,93,121,72,92.84,1169.09,547.15,393.72,181.85,46.37,7.3852,55,1650.60,205.01,17,0.1912,,0.0180,none
2023-10-29,7406.15,257.56,7148.59,3863.46,3285.13,6594.01,84,111,57,88.17,1118.73,499.25,387.97,185.37,46.14,6.6201,54,1596.50,196.56,16,0.2156,,0.0180,none
2023-10-30,6880.78,310.49,6570.29,9937.73,-3367.44,3226.57,75,98,141,91.74,1105.80,509.24,376.83,170.69,49.04,6.2224,55,1603.16,198.31,17,0.2330,,0.0180,none
2023-10-31,7369.20,303.24,7065.96,9940.84,-2874.88,351.70,82,106,145,89.87,1122.71,500.79,374.85,194.10,52.97,6.5638,57,1522.77,187.26,16,0.2066,,0.0180,none
2023-11-01,8044.45,315.73,7728.71,8080.41,-351.70,0.00,90,116,118,89.38,1209.22,551.23,405.46,198.56,53.97,6.6526,60,1659.41,206.19,17,0.2063,,0.0180,none
2023-11-02,7825.14,345.34,7479.80,7479.80,0.00,0.00,85,112,106,92.06,1162.70,512.92,414.33,185.19,50.26,6.7301,56,1567.90,193.53,16,0.2004,,0.0180,none
2023-11-03,8554.24,272.22,8282.02,8282.02,0.00,0.00,93,123,118,91.98,1118.56,472.25,408.82,189.46,48.03,7.6475,56,1562.50,192.67,16,0.1827,,0.0180,none
2023-11-04,8670.72,272.43,8398.29,5068.80,3329.49,3329.49,94,124,72,92.24,1171.81,533.36,401.28,183.95,53.22,7.3994,59,1547.13,190.70,16,0.1784,,0.0180,none
2023-11-05,7533.58,264.49,7269.09,3871.93,3397.16,6726.65,83,107,56,90.77,1128.40,519.78,374.49,183.47,50.66,6.6763,57,1521.04,187.17,16,0.2019,,0.0180,none
2023-11-06,7173.30,301.25,6872.05,9959.50,-3087.45,3639.21,81,104,147,88.56,1157.36,553.95,358.93,192.98,51.50,6.1980,58,1768.87,217.28,18,0.2466,,0.0180,none
2023-11-07,7606.37,285.24,7321.13,9962.61,-2641.48,997.73,85,113,145,89.49,1153.29,548.28,379.92,174.08,51.01,6.5954,55,1642.80,203.60,17,0.2160,,0.0180,none
2023-11-08,7949.95,333.85,7616.11,8613.83,-997.72,0.00,90,117,128,88.33,1135.46,498.57,416.26,174.20,46.43,7.0015,54,1729.09,212.31,18,0.2175,,0.0180,none
2023-11-09,8075.84,351.93,7723.91,7723.91,0.00,0.00,87,112,109,92.83,1109.21,492.45,375.01,188.32,53.43,7.2807,58,1517.06,189.05,16,0.1879,,0.0180,none
2023-11-10,8591.12,308.93,8282.19,8282.19,0.00,0.00,93,121,117,92.38,1169.98,551.61,387.91,177.86,52.60,7.3430,58,1556.60,191.77,16,0.1812,,0.0180,none
2023-11-11,8551.00,256.12,8294.88,5079.89,3214.99,3214.99,92,121,71,92.95,1157.11,498.77,409.21,196.89,52.24,7.3900,59,1625.00,200.83,17,0.1900,,0.0180,none
2023-11-12,7670.12,300.13,7369.99,3880.40,3489.59,6704.59,86,112,57,89.19,1121.80,484.35,405.92,182.02,49.51,6.8373,55,1670.93,207.32,17,0.2178,,0.0180,none
2023-11-13,7274.42,294.91,6979.51,9981.27,-3001.76,3702.82,79,106,142,92.08,1171.89,523.68,416.65,182.86,48.70,6.2074,58,1724.05,211.36,18,0.2370,,0.0180,none
2023-11-14,8571.96,328.10,8243.87,9984.38,-1740.51,1962.31,93,124,142,92.17,1291.79,569.73,461.62,207.75,52.69,6.6357,68,1772.52,221.75,18,0.2068,,0.0360,monthly_promotion
2023-11-15,9066.94,316.26,8750.67,9802.54,-1051.87,910.44,102,134,145,88.89,1334.72,601.35,471.27,211.09,51.01,6.7931,69,1938.91,239.35,20,0.2138,,0.0360,monthly_promotion
2023-11-16,9176.44,332.29,8844.15,9620.58,-776.43,134.01,100,131,138,91.76,1270.51,568.21,446.69,199.80,55.81,7.2226,68,2045.53,254.59,21,0.2229,,0.0360,monthly_promotion
2023-11-17,8493.68,292.25,8201.43,8335.44,-134.01,0.00,96,123,124,88.48,1118.65,494.95,395.44,177.22,51.04,7.5928,56,1613.05,199.74,17,0.1899,,0.0180,none
2023-11-18,8666.26,272.39,8393.87,5090.98,3302.89,3302.90,94,123,72,92.19,1135.62,491.23,397.42,192.64,54.33,7.6313,60,1595.10,197.60,17,0.1841,,0.0180,none
2023-11-19,7732.38,327.79,7404.59,3888.86,3515.73,6818.63,84,111,55,92.05,1168.26,530.60,402.40,180.69,54.57,6.6187,59,1561.55,191.93,16,0.2019,,0.0180,none
2023-11-20,9968.52,391.72,9576.80,9002.74,574.06,7392.69,106,141,126,94.04,1648.16,720.09,597.82,263.07,67.18,6.0483,104,2254.03,277.63,23,0.2261,,0.0730,holiday_peak
