activity_date,partner,clicks,orders,revenue_usd,commission_usd,updated_at
2023-08-21,creator_collective,115,6,589.50,82.53,2026-08-20T09:00:00Z
2023-08-21,cashback_network,98,4,346.92,34.69,2026-08-20T09:00:00Z
2023-08-21,editorial_partner,73,3,322.11,38.65,2026-08-20T09:00:00Z
2023-08-22,creator_collective,115,6,572.74,80.18,2026-08-20T09:00:00Z
2023-08-22,cashback_network,98,4,339.72,33.97,2026-08-20T09:00:00Z
2023-08-22,editorial_partner,73,3,312.48,37.50,2026-08-20T09:00:00Z
2023-08-23,creator_collective,115,6,580.97,81.34,2026-08-20T09:00:00Z
2023-08-23,cashback_network,98,4,364.29,36.43,2026-08-20T09:00:00Z
2023-08-23,editorial_partner,73,3,325.79,39.09,2026-08-20T09:00:00Z
2023-08-24,creator_collective,115,6,573.50,80.29,2026-08-20T09:00:00Z
2023-08-24,cashback_network,98,4,359.17,35.92,2026-08-20T09:00:00Z
2023-08-24,editorial_partner,73,3,329.94,39.59,2026-08-20T09:00:00Z
2023-08-25,creator_collective,135,7,669.35,93.71,2026-08-20T09:00:00Z
2023-08-25,cashback_network,122,5,423.20,42.32,2026-08-20T09:00:00Z
2023-08-25,editorial_partner,73,3,326.32,39.16,2026-08-20T09:00:00Z
2023-08-26,creator_collective,115,6,576.85,80.76,2026-08-20T09:00:00Z
2023-08-26,cashback_network,98,4,363.28,36.33,2026-08-20T09:00:00Z
2023-08-26,editorial_partner,98,4,435.58,52.27,2026-08-20T09:00:00Z
2023-08-27,creator_collective,135,7,658.02,92.12,2026-08-20T09:00:00Z
2023-08-27,cashback_network,122,5,430.01,43.00,2026-08-20T09:00:00Z
2023-08-27,editorial_partner,73,3,331.33,39.76,2026-08-20T09:00:00Z
2023-08-28,creator_collective,115,6,581.56,81.42,2026-08-20T09:00:00Z
2023-08-28,cashback_network,98,4,337.94,33.79,2026-08-20T09:00:00Z
2023-08-28,editorial_partner,73,3,330.61,39.67,2026-08-20T09:00:00Z
2023-08-29,creator_collective,115,6,584.77,81.87,2026-08-20T09:00:00Z
2023-08-29,cashback_network,98,4,359.04,35.90,2026-08-20T09:00:00Z
2023-08-29,editorial_partner,73,3,312.40,37.49,2026-08-20T09:00:00Z
2023-08-30,creator_collective,135,7,649.70,90.96,2026-08-20T09:00:00Z
2023-08-30,cashback_network,98,4,358.87,35.89,2026-08-20T09:00:00Z
2023-08-30,editorial_partner,73,3,314.19,37.70,2026-08-20T09:00:00Z
2023-08-31,creator_collective,115,6,579.01,81.06,2026-08-20T09:00:00Z
2023-08-31,cashback_network,98,4,357.52,35.75,2026-08-20T09:00:00Z
2023-08-31,editorial_partner,73,3,311.83,37.42,2026-08-20T09:00:00Z
2023-09-01,creator_collective,135,7,671.62,94.03,2026-08-20T09:00:00Z
2023-09-01,cashback_network,122,5,444.38,44.44,2026-08-20T09:00:00Z
2023-09-01,editorial_partner,98,4,440.47,52.86,2026-08-20T09:00:00Z
2023-09-02,creator_collective,115,6,568.48,79.59,2026-08-20T09:00:00Z
2023-09-02,cashback_network,122,5,455.61,45.56,2026-08-20T09:00:00Z
2023-09-02,editorial_partner,73,3,318.16,38.18,2026-08-20T09:00:00Z
2023-09-03,creator_collective,135,7,648.48,90.79,2026-08-20T09:00:00Z
2023-09-03,cashback_network,122,5,443.96,44.40,2026-08-20T09:00:00Z
2023-09-03,editorial_partner,73,3,317.58,38.11,2026-08-20T09:00:00Z
2023-09-04,creator_collective,115,6,557.63,78.07,2026-08-20T09:00:00Z
2023-09-04,cashback_network,122,5,435.93,43.59,2026-08-20T09:00:00Z
2023-09-04,editorial_partner,98,4,429.39,51.53,2026-08-20T09:00:00Z
