order_id,order_date,customer_id,region,gross_revenue_usd,status,updated_at
ORD-1001,2026-08-18,CUST-201,Northeast,129.00,completed,2026-08-20T08:05:00Z
ORD-1002,2026-08-18,CUST-202,South,84.50,completed,2026-08-20T08:05:00Z
ORD-1003,2026-08-18,CUST-203,West,212.00,refunded,2026-08-20T08:05:00Z
ORD-1004,2026-08-18,CUST-204,Midwest,67.25,completed,2026-08-20T08:05:00Z
ORD-1005,2026-08-19,CUST-205,Northeast,158.75,completed,2026-08-20T08:05:00Z
ORD-1006,2026-08-19,CUST-206,South,96.00,completed,2026-08-20T08:05:00Z
ORD-1007,2026-08-19,CUST-207,West,143.50,completed,2026-08-20T08:05:00Z
ORD-1008,2026-08-19,CUST-208,Midwest,118.00,refunded,2026-08-20T08:05:00Z
ORD-1009,2026-08-20,CUST-209,Northeast,76.50,completed,2026-08-20T08:05:00Z
ORD-1010,2026-08-20,CUST-210,South,184.25,completed,2026-08-20T08:05:00Z
ORD-1011,2026-08-20,CUST-211,West,205.00,completed,2026-08-20T08:05:00Z
ORD-1012,2026-08-20,CUST-212,Midwest,92.75,completed,2026-08-20T08:05:00Z
