forecast_date,horizon_day,target,model,forecast,lower_bound,upper_bound,planned_marketing_spend_usd,planned_affiliate_revenue_usd,planned_stockout_rate,planned_event
2026-08-21,1,net_revenue_usd,driver_regression,9121.0,8855.59,9386.42,1312.44,1777.08,0.0180,none
2026-08-22,2,net_revenue_usd,driver_regression,8950.59,8684.66,9216.52,1227.40,1638.16,0.0180,none
2026-08-23,3,net_revenue_usd,driver_regression,8355.64,8089.19,8622.08,1253.76,1866.79,0.0180,none
2026-08-24,4,net_revenue_usd,driver_regression,7717.56,7450.6,7984.52,1274.78,1746.26,0.0180,none
2026-08-25,5,net_revenue_usd,driver_regression,8205.91,7938.44,8473.38,1330.29,1716.95,0.0180,none
2026-08-26,6,net_revenue_usd,driver_regression,8479.73,8211.74,8747.71,1317.71,1738.24,0.0180,none
2026-08-27,7,net_revenue_usd,driver_regression,8685.05,8416.56,8953.54,1283.03,1889.19,0.0180,none
2026-08-28,8,net_revenue_usd,driver_regression,9228.13,8959.12,9497.13,1336.80,1750.14,0.0180,none
2026-08-29,9,net_revenue_usd,driver_regression,9216.05,8946.54,9485.56,1282.47,1674.50,0.0180,none
2026-08-30,10,net_revenue_usd,driver_regression,8518.29,8248.27,8788.31,1315.31,1773.24,0.0180,none
2026-08-31,11,net_revenue_usd,driver_regression,7949.77,7679.24,8220.3,1298.41,1853.31,0.0180,none
2026-09-01,12,net_revenue_usd,driver_regression,8352.83,8081.8,8623.86,1311.68,1876.30,0.0180,none
2026-09-02,13,net_revenue_usd,driver_regression,8478.26,8206.72,8749.8,1284.42,1790.93,0.0180,none
2026-09-03,14,net_revenue_usd,driver_regression,8557.76,8285.72,8829.8,1298.05,1647.28,0.0180,none
2026-09-04,15,net_revenue_usd,driver_regression,9337.81,9065.27,9610.35,1291.35,1960.72,0.0180,none
2026-09-05,16,net_revenue_usd,driver_regression,9476.49,9203.45,9749.54,1314.53,1783.22,0.0180,none
2026-09-06,17,net_revenue_usd,driver_regression,8835.06,8561.51,9108.61,1339.28,1968.49,0.0180,none
2026-09-07,18,net_revenue_usd,driver_regression,8050.15,7776.1,8324.19,1309.05,1865.93,0.0180,none
2026-09-08,19,net_revenue_usd,driver_regression,8654.69,8380.14,8929.24,1323.28,2097.71,0.0180,none
2026-09-09,20,net_revenue_usd,driver_regression,8805.86,8530.81,9080.9,1343.78,1879.05,0.0180,none
2026-09-10,21,net_revenue_usd,driver_regression,8911.15,8635.61,9186.7,1349.86,1788.07,0.0180,none
2026-09-11,22,net_revenue_usd,driver_regression,9475.27,9199.23,9751.31,1314.31,1971.59,0.0180,none
2026-09-12,23,net_revenue_usd,driver_regression,9874.53,9598.0,10151.07,1364.50,1977.53,0.0180,none
2026-09-13,24,net_revenue_usd,driver_regression,9995.09,9718.06,10272.12,1571.60,2146.86,0.0360,none
2026-09-14,25,net_revenue_usd,driver_regression,9612.05,9334.52,9889.57,1579.39,2278.22,0.0360,monthly_promotion
2026-09-15,26,net_revenue_usd,driver_regression,9651.79,9373.77,9929.81,1518.56,2168.57,0.0360,monthly_promotion
2026-09-16,27,net_revenue_usd,driver_regression,9189.34,8910.83,9467.85,1405.51,1958.36,0.0180,monthly_promotion
