scenario_id,scenario_label,forecast_date,horizon_day,target,baseline_model,scenario_method,forecast,lower_bound,upper_bound,delta_vs_base_usd,planned_marketing_spend_usd,planned_affiliate_revenue_usd,planned_stockout_rate,planned_event,fulfillment_capacity_multiplier
base_plan,Base plan,2026-08-21,1,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9121.0,8855.59,9386.42,0.0,1312.44,1777.08,0.0180,none,1.0
base_plan,Base plan,2026-08-21,1,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8417.7,7285.51,9549.89,0.0,1312.44,1777.08,0.0180,none,1.0
base_plan,Base plan,2026-08-22,2,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8950.59,8684.66,9216.52,0.0,1227.40,1638.16,0.0180,none,1.0
base_plan,Base plan,2026-08-22,2,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6111.07,4976.68,7245.46,0.0,1227.40,1638.16,0.0180,none,1.0
base_plan,Base plan,2026-08-23,3,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8355.64,8089.19,8622.08,0.0,1253.76,1866.79,0.0180,none,1.0
base_plan,Base plan,2026-08-23,3,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4667.85,3531.27,5804.43,0.0,1253.76,1866.79,0.0180,none,1.0
base_plan,Base plan,2026-08-24,4,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,7717.56,7450.6,7984.52,0.0,1274.78,1746.26,0.0180,none,1.0
base_plan,Base plan,2026-08-24,4,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,11897.25,10758.47,13036.03,0.0,1274.78,1746.26,0.0180,none,1.0
base_plan,Base plan,2026-08-25,5,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8205.91,7938.44,8473.38,0.0,1330.29,1716.95,0.0180,none,1.0
base_plan,Base plan,2026-08-25,5,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,7419.1,6278.14,8560.06,0.0,1330.29,1716.95,0.0180,none,1.0
base_plan,Base plan,2026-08-26,6,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8479.73,8211.74,8747.71,0.0,1317.71,1738.24,0.0180,none,1.0
base_plan,Base plan,2026-08-26,6,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,7661.6,6518.46,8804.74,0.0,1317.71,1738.24,0.0180,none,1.0
base_plan,Base plan,2026-08-27,7,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8685.05,8416.56,8953.54,0.0,1283.03,1889.19,0.0180,none,1.0
base_plan,Base plan,2026-08-27,7,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,7972.74,6827.42,9118.06,0.0,1283.03,1889.19,0.0180,none,1.0
base_plan,Base plan,2026-08-28,8,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9228.13,8959.12,9497.13,0.0,1336.80,1750.14,0.0180,none,1.0
base_plan,Base plan,2026-08-28,8,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8347.01,7199.51,9494.51,0.0,1336.80,1750.14,0.0180,none,1.0
base_plan,Base plan,2026-08-29,9,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9216.05,8946.54,9485.56,0.0,1282.47,1674.50,0.0180,none,1.0
base_plan,Base plan,2026-08-29,9,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6122.16,4972.49,7271.83,0.0,1282.47,1674.50,0.0180,none,1.0
base_plan,Base plan,2026-08-30,10,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8518.29,8248.27,8788.31,0.0,1315.31,1773.24,0.0180,none,1.0
base_plan,Base plan,2026-08-30,10,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4676.31,3524.48,5828.14,0.0,1315.31,1773.24,0.0180,none,1.0
base_plan,Base plan,2026-08-31,11,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,7949.77,7679.24,8220.3,0.0,1298.41,1853.31,0.0180,none,1.0
base_plan,Base plan,2026-08-31,11,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12027.92,10873.93,13181.91,0.0,1298.41,1853.31,0.0180,none,1.0
base_plan,Base plan,2026-09-01,12,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8352.83,8081.8,8623.86,0.0,1311.68,1876.30,0.0180,none,1.0
base_plan,Base plan,2026-09-01,12,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8599.72,7443.57,9755.87,0.0,1311.68,1876.30,0.0180,none,1.0
base_plan,Base plan,2026-09-02,13,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8478.26,8206.72,8749.8,0.0,1284.42,1790.93,0.0180,none,1.0
base_plan,Base plan,2026-09-02,13,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,7779.14,6620.83,8937.45,0.0,1284.42,1790.93,0.0180,none,1.0
base_plan,Base plan,2026-09-03,14,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8557.76,8285.72,8829.8,0.0,1298.05,1647.28,0.0180,none,1.0
base_plan,Base plan,2026-09-03,14,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,7969.26,6808.8,9129.72,0.0,1298.05,1647.28,0.0180,none,1.0
base_plan,Base plan,2026-09-04,15,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9337.81,9065.27,9610.35,0.0,1291.35,1960.72,0.0180,none,1.0
base_plan,Base plan,2026-09-04,15,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8474.31,7311.71,9636.91,0.0,1291.35,1960.72,0.0180,none,1.0
base_plan,Base plan,2026-09-05,16,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9476.49,9203.45,9749.54,0.0,1314.53,1783.22,0.0180,none,1.0
base_plan,Base plan,2026-09-05,16,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6133.25,4968.51,7297.99,0.0,1314.53,1783.22,0.0180,none,1.0
base_plan,Base plan,2026-09-06,17,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8835.06,8561.51,9108.61,0.0,1339.28,1968.49,0.0180,none,1.0
base_plan,Base plan,2026-09-06,17,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,4684.78,3517.9,5851.66,0.0,1339.28,1968.49,0.0180,none,1.0
base_plan,Base plan,2026-09-07,18,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8050.15,7776.1,8324.19,0.0,1309.05,1865.93,0.0180,none,1.0
base_plan,Base plan,2026-09-07,18,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,12049.69,10880.67,13218.71,0.0,1309.05,1865.93,0.0180,none,1.0
base_plan,Base plan,2026-09-08,19,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8654.69,8380.14,8929.24,0.0,1323.28,2097.71,0.0180,none,1.0
base_plan,Base plan,2026-09-08,19,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9360.76,8189.61,10531.91,0.0,1323.28,2097.71,0.0180,none,1.0
base_plan,Base plan,2026-09-09,20,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8805.86,8530.81,9080.9,0.0,1343.78,1879.05,0.0180,none,1.0
base_plan,Base plan,2026-09-09,20,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8196.44,7023.17,9369.71,0.0,1343.78,1879.05,0.0180,none,1.0
base_plan,Base plan,2026-09-10,21,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,8911.15,8635.61,9186.7,0.0,1349.86,1788.07,0.0180,none,1.0
base_plan,Base plan,2026-09-10,21,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,8139.23,6963.83,9314.63,0.0,1349.86,1788.07,0.0180,none,1.0
base_plan,Base plan,2026-09-11,22,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9475.27,9199.23,9751.31,0.0,1314.31,1971.59,0.0180,none,1.0
base_plan,Base plan,2026-09-11,22,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,9055.06,7877.55,10232.57,0.0,1314.31,1971.59,0.0180,none,1.0
base_plan,Base plan,2026-09-12,23,net_revenue_usd,driver_regression,champion_baseline_plus_driver_delta,9874.53,9598.0,10151.07,0.0,1364.50,1977.53,0.0180,none,1.0
base_plan,Base plan,2026-09-12,23,shipped_revenue_usd,seasonal_naive,champion_baseline_plus_driver_delta,6144.34,4964.71,7323.97,0.0,1364.50,1977.53,0.0180,none,1.0
