spend_date,channel,spend_usd,clicks,conversions,updated_at
2026-08-18,paid_search,420.00,1260,41,2026-08-20T07:45:00Z
2026-08-18,paid_social,315.50,1880,28,2026-08-20T07:45:00Z
2026-08-18,retargeting,148.25,530,19,2026-08-20T07:45:00Z
2026-08-19,paid_search,452.75,1315,44,2026-08-20T07:45:00Z
2026-08-19,paid_social,338.00,1965,31,2026-08-20T07:45:00Z
2026-08-19,retargeting,153.50,548,20,2026-08-20T07:45:00Z
2026-08-20,paid_search,188.50,542,17,2026-08-20T07:45:00Z
2026-08-20,paid_social,141.25,804,12,2026-08-20T07:45:00Z
2026-08-20,retargeting,65.75,237,8,2026-08-20T07:45:00Z

