activity_date,channel,spend_usd,impressions,clicks,attributed_orders,updated_at
2023-08-21,paid_search,442.50,5654,257,11,2026-08-20T09:00:00Z
2023-08-21,paid_social,325.88,11476,302,8,2026-08-20T09:00:00Z
2023-08-21,retargeting,157.33,7296,192,12,2026-08-20T09:00:00Z
2023-08-21,email,42.11,8892,234,17,2026-08-20T09:00:00Z
2023-08-22,paid_search,414.72,5302,241,11,2026-08-20T09:00:00Z
2023-08-22,paid_social,295.79,10412,274,7,2026-08-20T09:00:00Z
2023-08-22,retargeting,146.01,6764,178,11,2026-08-20T09:00:00Z
2023-08-22,email,44.67,9424,248,19,2026-08-20T09:00:00Z
2023-08-23,paid_search,430.62,5500,250,11,2026-08-20T09:00:00Z
2023-08-23,paid_social,344.19,12122,319,8,2026-08-20T09:00:00Z
2023-08-23,retargeting,161.21,7486,197,12,2026-08-20T09:00:00Z
2023-08-23,email,41.61,8778,231,16,2026-08-20T09:00:00Z
2023-08-24,paid_search,457.07,5852,266,12,2026-08-20T09:00:00Z
2023-08-24,paid_social,343.29,12084,318,8,2026-08-20T09:00:00Z
2023-08-24,retargeting,147.09,6802,179,11,2026-08-20T09:00:00Z
2023-08-24,email,39.63,8360,220,16,2026-08-20T09:00:00Z
2023-08-25,paid_search,411.85,5258,239,11,2026-08-20T09:00:00Z
2023-08-25,paid_social,346.29,12198,321,8,2026-08-20T09:00:00Z
2023-08-25,retargeting,161.31,7486,197,12,2026-08-20T09:00:00Z
2023-08-25,email,43.52,9196,242,17,2026-08-20T09:00:00Z
2023-08-26,paid_search,446.11,5698,259,11,2026-08-20T09:00:00Z
2023-08-26,paid_social,321.98,11324,298,8,2026-08-20T09:00:00Z
2023-08-26,retargeting,148.58,6878,181,12,2026-08-20T09:00:00Z
2023-08-26,email,42.36,8930,235,18,2026-08-20T09:00:00Z
2023-08-27,paid_search,450.65,5764,262,11,2026-08-20T09:00:00Z
2023-08-27,paid_social,306.43,10792,284,8,2026-08-20T09:00:00Z
2023-08-27,retargeting,165.90,7676,202,12,2026-08-20T09:00:00Z
2023-08-27,email,43.68,9234,243,17,2026-08-20T09:00:00Z
2023-08-28,paid_search,439.13,5610,255,11,2026-08-20T09:00:00Z
2023-08-28,paid_social,336.53,11856,312,8,2026-08-20T09:00:00Z
2023-08-28,retargeting,146.62,6802,179,11,2026-08-20T09:00:00Z
2023-08-28,email,41.19,8702,229,18,2026-08-20T09:00:00Z
2023-08-29,paid_search,452.45,5786,263,11,2026-08-20T09:00:00Z
2023-08-29,paid_social,325.62,11476,302,8,2026-08-20T09:00:00Z
2023-08-29,retargeting,147.29,6840,180,11,2026-08-20T09:00:00Z
2023-08-29,email,39.84,8398,221,16,2026-08-20T09:00:00Z
2023-08-30,paid_search,417.88,5346,243,10,2026-08-20T09:00:00Z
2023-08-30,paid_social,350.87,12350,325,9,2026-08-20T09:00:00Z
2023-08-30,retargeting,145.31,6726,177,11,2026-08-20T09:00:00Z
2023-08-30,email,41.89,8854,233,18,2026-08-20T09:00:00Z
2023-08-31,paid_search,429.65,5500,250,11,2026-08-20T09:00:00Z
2023-08-31,paid_social,346.72,12198,321,9,2026-08-20T09:00:00Z
2023-08-31,retargeting,169.13,7828,206,13,2026-08-20T09:00:00Z
2023-08-31,email,44.09,9310,245,19,2026-08-20T09:00:00Z
2023-09-01,paid_search,452.16,5786,263,11,2026-08-20T09:00:00Z
2023-09-01,paid_social,357.05,12578,331,9,2026-08-20T09:00:00Z
2023-09-01,retargeting,147.37,6840,180,11,2026-08-20T09:00:00Z
2023-09-01,email,45.67,9652,254,18,2026-08-20T09:00:00Z
2023-09-02,paid_search,431.81,5522,251,11,2026-08-20T09:00:00Z
2023-09-02,paid_social,333.51,11742,309,8,2026-08-20T09:00:00Z
2023-09-02,retargeting,156.59,7258,191,12,2026-08-20T09:00:00Z
2023-09-02,email,43.07,9082,239,17,2026-08-20T09:00:00Z
2023-09-03,paid_search,457.07,5852,266,12,2026-08-20T09:00:00Z
2023-09-03,paid_social,325.26,11438,301,8,2026-08-20T09:00:00Z
2023-09-03,retargeting,149.74,6954,183,11,2026-08-20T09:00:00Z
2023-09-03,email,43.32,9158,241,18,2026-08-20T09:00:00Z
2023-09-04,paid_search,440.98,5632,256,10,2026-08-20T09:00:00Z
2023-09-04,paid_social,359.01,12616,332,9,2026-08-20T09:00:00Z
2023-09-04,retargeting,168.49,7790,205,12,2026-08-20T09:00:00Z
2023-09-04,email,43.56,9196,242,19,2026-08-20T09:00:00Z
2023-09-05,paid_search,416.15,5324,242,10,2026-08-20T09:00:00Z
2023-09-05,paid_social,326.87,11514,303,8,2026-08-20T09:00:00Z
2023-09-05,retargeting,160.60,7448,196,12,2026-08-20T09:00:00Z
2023-09-05,email,40.59,8588,226,17,2026-08-20T09:00:00Z
2023-09-06,paid_search,481.33,6160,280,12,2026-08-20T09:00:00Z
2023-09-06,paid_social,321.13,11286,297,8,2026-08-20T09:00:00Z
2023-09-06,retargeting,159.03,7372,194,12,2026-08-20T09:00:00Z
2023-09-06,email,44.46,9386,247,17,2026-08-20T09:00:00Z
2023-09-07,paid_search,444.80,5698,259,11,2026-08-20T09:00:00Z
2023-09-07,paid_social,346.32,12198,321,8,2026-08-20T09:00:00Z
2023-09-07,retargeting,161.52,7486,197,12,2026-08-20T09:00:00Z
2023-09-07,email,42.82,9044,238,18,2026-08-20T09:00:00Z
2023-09-08,paid_search,430.55,5500,250,10,2026-08-20T09:00:00Z
2023-09-08,paid_social,333.39,11742,309,8,2026-08-20T09:00:00Z
2023-09-08,retargeting,151.07,6992,184,11,2026-08-20T09:00:00Z
2023-09-08,email,44.90,9462,249,18,2026-08-20T09:00:00Z
2023-09-09,paid_search,434.79,5566,253,11,2026-08-20T09:00:00Z
2023-09-09,paid_social,347.09,12198,321,9,2026-08-20T09:00:00Z
2023-09-09,retargeting,165.34,7676,202,12,2026-08-20T09:00:00Z
2023-09-09,email,41.98,8854,233,17,2026-08-20T09:00:00Z
2023-09-10,paid_search,446.24,5698,259,11,2026-08-20T09:00:00Z
2023-09-10,paid_social,358.61,12616,332,9,2026-08-20T09:00:00Z
2023-09-10,retargeting,159.19,7372,194,12,2026-08-20T09:00:00Z
2023-09-10,email,41.61,8778,231,18,2026-08-20T09:00:00Z
2023-09-11,paid_search,489.13,6248,284,13,2026-08-20T09:00:00Z
2023-09-11,paid_social,339.82,11970,315,8,2026-08-20T09:00:00Z
2023-09-11,retargeting,166.12,7714,203,13,2026-08-20T09:00:00Z
2023-09-11,email,42.65,9006,237,18,2026-08-20T09:00:00Z
2023-09-12,paid_search,420.25,5368,244,11,2026-08-20T09:00:00Z
2023-09-12,paid_social,355.11,12502,329,8,2026-08-20T09:00:00Z
2023-09-12,retargeting,174.08,8056,212,12,2026-08-20T09:00:00Z
2023-09-12,email,42.09,8892,234,18,2026-08-20T09:00:00Z
2023-09-13,paid_search,445.00,5698,259,11,2026-08-20T09:00:00Z
2023-09-13,paid_social,332.93,11704,308,8,2026-08-20T09:00:00Z
2023-09-13,retargeting,171.71,7942,209,13,2026-08-20T09:00:00Z
2023-09-13,email,44.20,9348,246,19,2026-08-20T09:00:00Z
2023-09-14,paid_search,520.86,6666,303,14,2026-08-20T09:00:00Z
2023-09-14,paid_social,386.01,13566,357,11,2026-08-20T09:00:00Z
2023-09-14,retargeting,200.47,9272,244,16,2026-08-20T09:00:00Z
2023-09-14,email,51.92,10944,288,24,2026-08-20T09:00:00Z
2023-09-15,paid_search,482.45,6160,280,13,2026-08-20T09:00:00Z
2023-09-15,paid_social,402.71,14174,373,11,2026-08-20T09:00:00Z
2023-09-15,retargeting,200.02,9272,244,17,2026-08-20T09:00:00Z
2023-09-15,email,49.09,10374,273,22,2026-08-20T09:00:00Z
2023-09-16,paid_search,512.08,6556,298,15,2026-08-20T09:00:00Z
2023-09-16,paid_social,372.08,13110,345,10,2026-08-20T09:00:00Z
2023-09-16,retargeting,188.20,8740,230,16,2026-08-20T09:00:00Z
2023-09-16,email,49.41,10450,275,23,2026-08-20T09:00:00Z
2023-09-17,paid_search,429.48,5500,250,11,2026-08-20T09:00:00Z
2023-09-17,paid_social,372.76,13110,345,9,2026-08-20T09:00:00Z
2023-09-17,retargeting,157.56,7296,192,11,2026-08-20T09:00:00Z
2023-09-17,email,46.41,9804,258,20,2026-08-20T09:00:00Z
2023-09-18,paid_search,495.38,6336,288,12,2026-08-20T09:00:00Z
2023-09-18,paid_social,340.73,11970,315,8,2026-08-20T09:00:00Z
2023-09-18,retargeting,167.80,7790,205,13,2026-08-20T09:00:00Z
2023-09-18,email,45.89,9690,255,18,2026-08-20T09:00:00Z
2023-09-19,paid_search,469.10,6006,273,12,2026-08-20T09:00:00Z
2023-09-19,paid_social,348.43,12274,323,9,2026-08-20T09:00:00Z
2023-09-19,retargeting,157.69,7296,192,12,2026-08-20T09:00:00Z
2023-09-19,email,45.31,9576,252,19,2026-08-20T09:00:00Z
2023-09-20,paid_search,481.62,6160,280,13,2026-08-20T09:00:00Z
2023-09-20,paid_social,368.27,12958,341,9,2026-08-20T09:00:00Z
2023-09-20,retargeting,165.41,7676,202,13,2026-08-20T09:00:00Z
2023-09-20,email,47.33,9994,263,19,2026-08-20T09:00:00Z
2023-09-21,paid_search,472.49,6050,275,11,2026-08-20T09:00:00Z
2023-09-21,paid_social,363.45,12806,337,9,2026-08-20T09:00:00Z
2023-09-21,retargeting,165.25,7676,202,13,2026-08-20T09:00:00Z
2023-09-21,email,47.89,10108,266,19,2026-08-20T09:00:00Z
2023-09-22,paid_search,504.52,6446,293,13,2026-08-20T09:00:00Z
2023-09-22,paid_social,344.66,12122,319,8,2026-08-20T09:00:00Z
2023-09-22,retargeting,164.59,7638,201,12,2026-08-20T09:00:00Z
2023-09-22,email,44.04,9310,245,18,2026-08-20T09:00:00Z
2023-09-23,paid_search,494.97,6336,288,12,2026-08-20T09:00:00Z
2023-09-23,paid_social,358.03,12616,332,8,2026-08-20T09:00:00Z
2023-09-23,retargeting,181.82,8436,222,14,2026-08-20T09:00:00Z
2023-09-23,email,44.39,9386,247,18,2026-08-20T09:00:00Z
2023-09-24,paid_search,441.33,5654,257,11,2026-08-20T09:00:00Z
2023-09-24,paid_social,328.11,11552,304,8,2026-08-20T09:00:00Z
2023-09-24,retargeting,172.07,7980,210,13,2026-08-20T09:00:00Z
2023-09-24,email,44.80,9462,249,18,2026-08-20T09:00:00Z
2023-09-25,paid_search,487.78,6248,284,12,2026-08-20T09:00:00Z
2023-09-25,paid_social,340.34,11970,315,8,2026-08-20T09:00:00Z
2023-09-25,retargeting,166.67,7714,203,12,2026-08-20T09:00:00Z
2023-09-25,email,42.68,9006,237,17,2026-08-20T09:00:00Z
2023-09-26,paid_search,486.19,6226,283,12,2026-08-20T09:00:00Z
2023-09-26,paid_social,380.60,13376,352,9,2026-08-20T09:00:00Z
2023-09-26,retargeting,172.14,7980,210,12,2026-08-20T09:00:00Z
2023-09-26,email,44.12,9310,245,19,2026-08-20T09:00:00Z
2023-09-27,paid_search,496.48,6358,289,13,2026-08-20T09:00:00Z
2023-09-27,paid_social,372.81,13110,345,9,2026-08-20T09:00:00Z
2023-09-27,retargeting,176.36,8170,215,13,2026-08-20T09:00:00Z
2023-09-27,email,47.79,10070,265,21,2026-08-20T09:00:00Z
2023-09-28,paid_search,469.07,6006,273,12,2026-08-20T09:00:00Z
2023-09-28,paid_social,351.30,12350,325,8,2026-08-20T09:00:00Z
2023-09-28,retargeting,168.50,7790,205,13,2026-08-20T09:00:00Z
