activity_date,gross_revenue_usd,refunds_usd,net_revenue_usd,orders,units_sold,shipped_revenue_usd,units_shipped,ending_backlog_revenue_usd,stockout_rate,event_name,updated_at
2023-08-21,5869.20,206.06,5663.14,66,88,5663.14,84,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-08-22,6105.68,221.64,5884.05,69,89,5884.05,87,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-08-23,6335.31,229.34,6105.97,70,90,6105.97,88,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-08-24,6575.31,230.96,6344.34,73,94,6344.34,92,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-08-25,7175.65,279.13,6896.52,78,100,6896.52,98,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-08-26,7180.55,217.89,6962.66,77,98,4957.92,70,2004.74,0.0180,none,2026-08-20T09:00:00Z
2023-08-27,6470.11,237.02,6233.09,73,94,3787.26,56,4450.57,0.0180,none,2026-08-20T09:00:00Z
2023-08-28,5854.61,236.77,5617.84,63,82,9741.77,137,326.64,0.0180,none,2026-08-20T09:00:00Z
2023-08-29,6157.91,254.18,5903.73,67,87,6230.37,89,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-08-30,6479.71,290.94,6188.77,70,93,6188.77,87,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-08-31,6638.03,293.33,6344.70,74,96,6344.70,93,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-01,7489.68,249.30,7240.38,81,105,7240.38,102,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-02,7289.78,207.81,7081.97,78,103,4969.01,70,2112.96,0.0180,none,2026-08-20T09:00:00Z
2023-09-03,6780.11,239.31,6540.80,74,99,3795.72,54,4858.04,0.0180,none,2026-08-20T09:00:00Z
2023-09-04,6158.02,265.56,5892.46,69,89,9763.55,142,986.95,0.0180,none,2026-08-20T09:00:00Z
2023-09-05,6360.07,262.76,6097.31,68,88,7084.26,100,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-06,6655.63,265.18,6390.45,72,97,6390.45,91,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-07,6765.64,273.46,6492.18,73,96,6492.18,92,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-08,7354.92,277.82,7077.10,82,109,7077.10,103,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-09,7380.98,248.13,7132.85,83,107,4980.10,73,2152.75,0.0180,none,2026-08-20T09:00:00Z
2023-09-10,7007.72,242.43,6765.29,76,101,3804.19,54,5113.85,0.0180,none,2026-08-20T09:00:00Z
2023-09-11,6262.86,250.62,6012.24,68,88,9785.32,139,1340.77,0.0180,none,2026-08-20T09:00:00Z
2023-09-12,6445.45,250.38,6195.07,70,90,7535.84,107,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-13,6900.58,258.21,6642.38,76,99,6642.38,96,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-14,7881.02,286.06,7594.96,89,119,7594.96,112,0.00,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2023-09-15,8179.31,271.52,7907.79,90,116,7907.79,115,0.00,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2023-09-16,8564.60,240.10,8324.51,92,119,4991.18,70,3333.32,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2023-09-17,6913.95,228.61,6685.34,75,98,3812.66,54,6206.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-18,6330.16,271.01,6059.15,70,89,9807.09,142,2458.06,0.0180,none,2026-08-20T09:00:00Z
2023-09-19,6669.34,298.07,6371.27,73,98,8829.33,127,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-20,7126.08,312.19,6813.89,76,102,6813.89,95,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-21,7162.10,312.48,6849.62,81,105,6849.62,101,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-22,7992.08,256.78,7735.30,87,115,7735.30,111,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-23,8165.11,250.78,7914.32,89,116,5002.27,71,2912.05,0.0180,none,2026-08-20T09:00:00Z
2023-09-24,7012.10,267.43,6744.67,79,106,3821.13,57,5835.59,0.0180,none,2026-08-20T09:00:00Z
2023-09-25,6540.49,292.02,6248.47,71,92,9828.86,140,2255.19,0.0180,none,2026-08-20T09:00:00Z
2023-09-26,6968.81,259.59,6709.22,78,103,8964.41,132,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-27,7282.08,317.36,6964.72,79,103,6964.72,99,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-28,7121.26,330.45,6790.81,81,105,6790.81,101,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-29,8056.32,286.86,7769.46,90,117,7769.46,114,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-09-30,8076.39,246.40,7829.99,92,122,5013.36,75,2816.63,0.0180,none,2026-08-20T09:00:00Z
2023-10-01,7183.15,262.58,6920.57,77,102,3829.59,54,5907.61,0.0180,none,2026-08-20T09:00:00Z
2023-10-02,6505.90,287.29,6218.61,72,93,9850.64,143,2275.59,0.0180,none,2026-08-20T09:00:00Z
2023-10-03,6873.64,253.42,6620.22,76,100,8895.80,129,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-04,7347.72,326.23,7021.48,79,102,7021.48,99,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-05,7454.77,319.08,7135.68,79,104,7135.68,100,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-06,7914.51,282.02,7632.49,88,115,7632.49,112,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-07,8270.31,236.64,8033.67,94,124,5024.45,75,3009.22,0.0180,none,2026-08-20T09:00:00Z
2023-10-08,7219.36,255.70,6963.66,77,100,3838.06,54,6134.82,0.0180,none,2026-08-20T09:00:00Z
2023-10-09,6639.08,260.52,6378.56,73,93,9872.41,142,2640.97,0.0180,none,2026-08-20T09:00:00Z
2023-10-10,7184.44,274.78,6909.66,80,102,9550.63,139,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-11,7248.11,298.68,6949.43,79,106,6949.43,99,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-12,7599.79,324.83,7274.96,82,108,7274.96,102,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-13,7902.43,267.81,7634.62,90,117,7634.62,114,0.00,0.0180,none,2026-08-20T09:00:00Z
2023-10-14,9090.10,250.68,8839.41,101,131,5035.54,73,3803.88,0.0360,monthly_promotion,2026-08-20T09:00:00Z
2023-10-15,8334.75,279.45,8055.30,89,115,3846.53,54,8012.65,0.0360,monthly_promotion,2026-08-20T09:00:00Z
